타임스탬프,이메일 주소,1. 본인의 성명을 입력해주십시오.,2. 본인의 학번을 입력해 주십시오,3. 본인의 학년 또는 지위를 선택해 주십시오.,4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [1지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [2지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [3지망]
1/11/2000 12:00,fcpkjcslqc@snu.ac.kr,채은도,2000-11191,1학년,15동 404호(칸막이),법오 큰방(평상),국산(칸막이)
1/11/2000 12:00,i4o6l1f90s@snu.ac.kr,유기예,2000-11253,1학년,국산(칸막이),법오 큰방(평상),법오 작은방(평상)
1/11/2000 12:00,74rzgyd49p@snu.ac.kr,김경훈,2000-11507,3학년,15동 401호(칸막이),법오 작은방(평상),15동 404호(칸막이)
1/11/2000 12:00,kepadahp2r@snu.ac.kr,박빛승,2000-11396,2학년,법오 작은방(평상),15동 404호(칸막이),법오 골방(칸막이)
1/11/2000 12:00,7lp7dfjcp0@snu.ac.kr,마하은,2000-11529,3학년,15동 401호(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,mb1l6314cq@snu.ac.kr,문태하,2000-11433,3학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,5brn7zsedf@snu.ac.kr,배채온,2000-11199,1학년,법오 작은방(평상),15동 403호(평상),15동 404호(칸막이)
1/11/2000 12:00,rrhf4abufw@snu.ac.kr,편서연,2000-11367,2학년,법오 큰방(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,1f4x2bfibj@snu.ac.kr,고도윤,2000-11538,3학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,q85jsg65kx@snu.ac.kr,민호슬,2000-11118,1학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,qakoixntm9@snu.ac.kr,여윤윤,2000-11150,1학년,15동 401호(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,p2fmr0tjop@snu.ac.kr,석원광,2000-11413,2학년,15동 404호(칸막이),15동 401호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,ztkszp7g7s@snu.ac.kr,이하랑,2000-11249,1학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,mkzebbk7w1@snu.ac.kr,손린선,2000-11152,1학년,법오 큰방(칸막이),법오 골방(칸막이),15동 401호(평상)
1/11/2000 12:00,uswrgvz9aa@snu.ac.kr,공별아,2000-11435,3학년,15동 404호(칸막이),법오 큰방(평상),국산(칸막이)
1/11/2000 12:00,kpqahcua09@snu.ac.kr,강명성,2000-11584,수료생,15동 401호(평상),법오 큰방(평상),법오 큰방(칸막이)
1/11/2000 12:00,gm0j36tcfk@snu.ac.kr,마꽃나,2000-11402,2학년,법오 큰방(칸막이),15동 401호(칸막이),법오 골방(칸막이)
1/11/2000 12:00,nbhds26fmr@snu.ac.kr,유겨상,2000-11440,3학년,15동 404호(칸막이),법오 큰방(칸막이),법오 작은방(평상)
1/11/2000 12:00,kzmpjrht7z@snu.ac.kr,류채진,2000-11227,1학년,법오 큰방(칸막이),15동 404호(칸막이),15동 401호(칸막이)
1/11/2000 12:00,qnk20in891@snu.ac.kr,채율안,2000-11289,2학년,15동 404호(칸막이),법오 작은방(평상),15동 403호(칸막이)
1/11/2000 12:00,vzhwjr64dp@snu.ac.kr,전근소,2000-11129,1학년,법오 큰방(칸막이),법오 골방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,bfu7e4dnks@snu.ac.kr,허태람,2000-11567,3학년,법오 큰방(칸막이),15동 401호(평상),15동 403호(칸막이)
1/11/2000 12:00,qw4c6lbpj8@snu.ac.kr,양규은,2000-11484,3학년,15동 401호(칸막이),15동 404호(칸막이),15동 403호(평상)
1/11/2000 12:00,geuidjipnf@snu.ac.kr,탁달재,2000-11385,2학년,국산(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,j17mgfxc08@snu.ac.kr,우현봄,2000-11184,1학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,i5p5nvqebw@snu.ac.kr,오광서,2000-11324,2학년,15동 403호(칸막이),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,ixdu1emmx3@snu.ac.kr,공다하,2000-11204,1학년,15동 404호(칸막이),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,eao4n5pp3x@snu.ac.kr,배현태,2000-11258,1학년,15동 404호(칸막이),법오 큰방(칸막이),15동 401호(칸막이)
